id,artist.name,project.name,weeks.nr1,number.collaborators,weeks.nr1.adj,award,type,city.origin,kreis.origin,state.origin,running.number
Bushido feat.  Samra   Capital Bra-Für euch alle-single,Samra,Für euch alle,1,3,0.3333333333333333,1 × Gold,single,Berlin,Berlin,Berlin,63
Bushido feat.  Samra   Capital Bra-Für euch alle-single,Capital Bra,Für euch alle,1,3,0.3333333333333333,1 × Gold,single,Berlin,Berlin,Berlin,64
Capital Bra-Berlin lebt-album,Capital Bra,Berlin lebt,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,65
Capital Bra-CB6-album,Capital Bra,CB6,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,66
Capital Bra-CB7-album,Capital Bra,CB7,1,1,1,NA,album,Berlin,Berlin,Berlin,67
Capital Bra-5 Songs in einer Nacht-single,Capital Bra,5 Songs in einer Nacht,1,1,1,1 × Gold,single,Berlin,Berlin,Berlin,68
Capital Bra-One Night Stand-single,Capital Bra,One Night Stand,2,1,2,1 × Platin,single,Berlin,Berlin,Berlin,69
Capital Bra-Berlin lebt-single,Capital Bra,Berlin lebt,1,1,1,1 × Gold,single,Berlin,Berlin,Berlin,70
Capital Bra-Benzema-single,Capital Bra,Benzema,1,1,1,1 × Platin,single,Berlin,Berlin,Berlin,71
Capital Bra-Prinzessa-single,Capital Bra,Prinzessa,2,1,2,1 × Platin,single,Berlin,Berlin,Berlin,72
Capital Bra-Cherry Lady-single,Capital Bra,Cherry Lady,1,1,1,1 × Platin,single,Berlin,Berlin,Berlin,73
Capital Bra-Der Bratan bleibt der gleiche-single,Capital Bra,Der Bratan bleibt der gleiche,1,1,1,NA,single,Berlin,Berlin,Berlin,74
Capital Bra   Farid Bang-Deutschrap brandneu-album,Capital Bra,Deutschrap brandneu,1,2,0.5,NA,album,Berlin,Berlin,Berlin,75
Capital Bra   Farid Bang-Deutschrap brandneu-album,Farid Bang,Deutschrap brandneu,1,2,0.5,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,76
Capital Bra   Loredana-Nicht verdient-single,Capital Bra,Nicht verdient,1,2,0.5,NA,single,Berlin,Berlin,Berlin,77
Capital Bra   Samra-Berlin lebt 2-album,Capital Bra,Berlin lebt 2,1,2,0.5,1× Gold,album,Berlin,Berlin,Berlin,78
Capital Bra   Samra-Berlin lebt 2-album,Samra,Berlin lebt 2,1,2,0.5,1× Gold,album,Berlin,Berlin,Berlin,79
Capital Bra   Samra-Wir ticken-single,Capital Bra,Wir ticken,1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,80
Capital Bra   Samra-Wir ticken-single,Samra,Wir ticken,1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,81
Capital Bra   Samra-Tilidin-single,Capital Bra,Tilidin,2,2,1,3 × Gold,single,Berlin,Berlin,Berlin,82
Capital Bra   Samra-Tilidin-single,Samra,Tilidin,2,2,1,3 × Gold,single,Berlin,Berlin,Berlin,83
Capital Bra   Samra-Nummer 1-single,Capital Bra,Nummer 1,1,2,0.5,NA,single,Berlin,Berlin,Berlin,84
Capital Bra   Samra-Nummer 1-single,Samra,Nummer 1,1,2,0.5,NA,single,Berlin,Berlin,Berlin,85
Capital Bra   Samra feat.  LEA-110-single,Capital Bra,110,2,3,0.6666666666666666,3 × Gold,single,Berlin,Berlin,Berlin,86
Capital Bra   Samra feat.  LEA-110-single,Samra,110,2,3,0.6666666666666666,3 × Gold,single,Berlin,Berlin,Berlin,87
Capital Bra   Samra feat.  LEA-110-single,LEA,110,2,3,0.6666666666666666,3 × Gold,single,Kassel,Kassel,Hessen,88
Capital Bra feat.  Cro-Frühstück in Paris-single,Capital Bra,Frühstück in Paris,1,2,0.5,1 × Gold,single,Berlin,Berlin,Berlin,89
Capital Bra feat.  Cro-Frühstück in Paris-single,Cro,Frühstück in Paris,1,2,0.5,1 × Gold,single,Stuttgart,Stuttgart,Baden-Württemberg,90
Capital Bra feat.  Juju-Melodien-single,Capital Bra,Melodien,1,2,0.5,1 × Platin,single,Berlin,Berlin,Berlin,91
Capital Bra feat.  Juju-Melodien-single,Juju,Melodien,1,2,0.5,1 × Platin,single,Berlin,Berlin,Berlin,92
Capital Bra feat.  Luciano   Eno-Roli Glitzer Glitzer-single,Capital Bra,Roli Glitzer Glitzer,1,3,0.3333333333333333,1 × Gold,single,Berlin,Berlin,Berlin,93
Capital Bra feat.  Luciano   Eno-Roli Glitzer Glitzer-single,Luciano,Roli Glitzer Glitzer,1,3,0.3333333333333333,1 × Gold,single,Berlin,Berlin,Berlin,94
Capital Bra feat.  Luciano   Eno-Roli Glitzer Glitzer-single,Eno,Roli Glitzer Glitzer,1,3,0.3333333333333333,1 × Gold,single,Wiesbaden,Wiesbaden,Hessen,95
Capital Bra feat.  Ufo361-Neymar-single,Capital Bra,Neymar,3,2,1.5,1 × Platin,single,Berlin,Berlin,Berlin,96
Capital Bra feat.  Ufo361-Neymar-single,Ufo361,Neymar,3,2,1.5,1 × Platin,single,Berlin,Berlin,Berlin,97
Casper-XOXO-album,Casper,XOXO,1,1,1,3× Gold,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,98
Casper-Hinterland-album,Casper,Hinterland,1,1,1,3× Gold,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,99
Casper-Lang lebe der Tod-album,Casper,Lang lebe der Tod,1,1,1,NA,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,100
Casper-Alles war schön und nichts tat weh-album,Casper,Alles war schön und nichts tat weh,1,1,1,NA,album,Bielefeld,Bielefeld,Nordrhein-Westfalen,101
Cro-Raop-album,Cro,Raop,5,1,5,5× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,102
Cro-Melodie-album,Cro,Melodie,1,1,1,3× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,103
Cro-MTV Unplugged: Cro-album,Cro,MTV Unplugged: Cro,1,1,1,1× Platin,album,Stuttgart,Stuttgart,Baden-Württemberg,104
Cro-tru.-album,Cro,tru.,1,1,1,NA,album,Stuttgart,Stuttgart,Baden-Württemberg,105
Cro-Trip-album,Cro,Trip,1,1,1,NA,album,Stuttgart,Stuttgart,Baden-Württemberg,106
Cro-11:11-album,Cro,11:11,1,1,1,NA,album,Stuttgart,Stuttgart,Baden-Württemberg,107
Cro-Whatever-single,Cro,Whatever,1,1,1,3 × Gold,single,Stuttgart,Stuttgart,Baden-Württemberg,108
Cro-Traum-single,Cro,Traum,4,1,4,2 × Platin,single,Stuttgart,Stuttgart,Baden-Württemberg,109
Cro-Bye Bye-single,Cro,Bye Bye,3,1,3,1 × Platin,single,Stuttgart,Stuttgart,Baden-Württemberg,110
Culcha Candela-Hamma!-single,Culcha Candela,Hamma!,6,1,6,1 × Platin,single,Berlin,Berlin,Berlin,111
Danger Dan-Das ist alles von der Kunstfreiheit gedeckt-album,Danger Dan,Das ist alles von der Kunstfreiheit gedeckt,1,1,1,NA,album,Aachen,Städteregion Aachen,Nordrhein-Westfalen,112
Deichkind-Niveau weshalb warum-album,Deichkind,Niveau weshalb warum,1,1,1,1× Platin,album,Hamburg,Hamburg,Hamburg,113
Dendemann-Da nich für!-album,Dendemann,Da nich für!,1,1,1,NA,album,Menden,Märkischer Kreis,Nordrhein-Westfalen,114
Die Fantastischen Vier-4:99-album,Die Fantastischen Vier,4:99,3,1,3,1× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,115
Die Fantastischen Vier-Fornika-album,Die Fantastischen Vier,Fornika,1,1,1,1× Platin,album,Stuttgart,Stuttgart,Baden-Württemberg,116
Die Fantastischen Vier-Für dich immer noch Fanta Sie-album,Die Fantastischen Vier,Für dich immer noch Fanta Sie,1,1,1,1× Platin,album,Stuttgart,Stuttgart,Baden-Württemberg,117
Die Fantastischen Vier-MTV Unplugged II-album,Die Fantastischen Vier,MTV Unplugged II,1,1,1,NA,album,Stuttgart,Stuttgart,Baden-Württemberg,118
Die Fantastischen Vier-Rekord-album,Die Fantastischen Vier,Rekord,1,1,1,3× Gold,album,Stuttgart,Stuttgart,Baden-Württemberg,119
Die Fantastischen Vier-Sie ist weg-single,Die Fantastischen Vier,Sie ist weg,3,1,3,1 × Gold,single,Stuttgart,Stuttgart,Baden-Württemberg,120
Edo Saiya-Polar-album,Edo Saiya,Polar,1,1,1,NA,album,Köln,Köln,Nordrhein-Westfalen,121
Eko Fresh-Eksodus-album,Eko Fresh,Eksodus,1,1,1,NA,album,Köln,Köln,Nordrhein-Westfalen,122
Eno feat.  Mero-Ferrari-single,Eno,Ferrari,1,2,0.5,1 × Gold,single,Wiesbaden,Wiesbaden,Hessen,123
Eno feat.  Mero-Ferrari-single,Mero,Ferrari,1,2,0.5,1 × Gold,single,Rüsselsheim am Main,Groß-Gerau,Hessen,124
Farid Bang-Killa-album,Farid Bang,Killa,1,1,1,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,125
Farid Bang-Asphalt Massaka 3-album,Farid Bang,Asphalt Massaka 3,1,1,1,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,126
Farid Bang-Asozialer Marokkaner-album,Farid Bang,Asozialer Marokkaner,1,1,1,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,127
Favorite-Neues von Gott-album,Favorite,Neues von Gott,1,1,1,NA,album,Essen,Essen,Nordrhein-Westfalen,128
Finch-Rummelbums-album,Finch,Rummelbums,1,1,1,NA,album,Fürstenwalde,Oder-Spree,Brandenburg,129
Fler-Vibe-album,Fler,Vibe,1,1,1,NA,album,Berlin,Berlin,Berlin,130
Fler-Colucci-album,Fler,Colucci,1,1,1,NA,album,Berlin,Berlin,Berlin,131
Fler-Atlantis-album,Fler,Atlantis,1,1,1,NA,album,Berlin,Berlin,Berlin,132
Fler-Widder-album,Fler,Widder,1,1,1,NA,album,Berlin,Berlin,Berlin,133
Fler   Jalil-Epic-album,Fler,Epic,1,2,0.5,NA,album,Berlin,Berlin,Berlin,134
Fler   Jalil-Epic-album,Jalil,Epic,1,2,0.5,NA,album,Berlin,Berlin,Berlin,135
Frank White-Keiner kommt klar mit mir-album,Frank White,Keiner kommt klar mit mir,1,1,1,NA,album,Berlin,Berlin,Berlin,136
Genetikk-D.N.A.-album,Genetikk,D.N.A.,1,1,1,1× Gold,album,Saarbrücken,Regionalverband Saarbrücken,Saarland,137
Genetikk-Achter Tag-album,Genetikk,Achter Tag,1,1,1,1× Gold,album,Saarbrücken,Regionalverband Saarbrücken,Saarland,138
Genetikk-Y.A.L.A-album,Genetikk,Y.A.L.A,1,1,1,NA,album,Saarbrücken,Regionalverband Saarbrücken,Saarland,139
Genetikk-MDNA-album,Genetikk,MDNA,1,1,1,NA,album,Saarbrücken,Regionalverband Saarbrücken,Saarland,140
Gzuz-Wolke 7-album,Gzuz,Wolke 7,1,1,1,1× Gold,album,Hamburg,Hamburg,Hamburg,141
Gzuz-Gzuz-album,Gzuz,Gzuz,1,1,1,NA,album,Hamburg,Hamburg,Hamburg,142
Gzuz-Große Freiheit-album,Gzuz,Große Freiheit,1,1,1,NA,album,Hamburg,Hamburg,Hamburg,143
Gzuz   Bonez MC-High & Hungrig 2-album,Gzuz,High & Hungrig 2,1,2,0.5,1× Platin,album,Hamburg,Hamburg,Hamburg,144
Gzuz   Bonez MC-High & Hungrig 2-album,Bonez MC,High & Hungrig 2,1,2,0.5,1× Platin,album,Hamburg,Hamburg,Hamburg,145
Jan Delay-Mercedes-Dance-album,Jan Delay,Mercedes-Dance,1,1,1,1× Platin,album,Hamburg,Hamburg,Hamburg,146
Jan Delay-Wir Kinder vom Bahnhof Soul-album,Jan Delay,Wir Kinder vom Bahnhof Soul,2,1,2,1× Platin,album,Hamburg,Hamburg,Hamburg,147
Joker Bra   Vize-Baby-single,Joker Bra   Vize,Baby,1,1,1,1 × Platin,single,Berlin,Berlin,Berlin,148
Juju feat.  Henning May-Vermissen-single,Juju,Vermissen,2,2,1,1 × Platin,single,Berlin,Berlin,Berlin,149
Juju feat.  Henning May-Vermissen-single,Henning May,Vermissen,2,2,1,1 × Platin,single,Köln,Köln,Nordrhein-Westfalen,150
Juri-Bratans aus Favelas-album,Juri,Bratans aus Favelas,1,1,1,NA,album,Kassel,Kassel,Hessen,151
K.I.Z-Hurra die Welt geht unter-album,K.I.Z,Hurra die Welt geht unter,1,1,1,1× Gold,album,Berlin,Berlin,Berlin,152
K.I.Z-Rap über Hass-album,K.I.Z,Rap über Hass,1,1,1,NA,album,Berlin,Berlin,Berlin,153
